data_period,city_admin,subdistrict,ward,water_height_cm,people_affected,max_evacuees,deaths,max_water_cm
201602,JAKARTA BARAT,Kalideres,TEGAL ALUR,80 - 100,280,69.0,0,100.0
201602,JAKARTA BARAT,Kebon Jeruk,KEDOYA UTARA,20 - 40,0,0.0,0,40.0
201602,JAKARTA BARAT,Kebon Jeruk,KELAPA DUA,10 - 30,0,0.0,0,30.0
201602,JAKARTA BARAT,Kembangan,JOGLO,5 - 30,0,0.0,0,30.0
201602,JAKARTA BARAT,Kembangan,KEMBANGAN UTARA,20 - 70,40,40.0,0,70.0
201602,JAKARTA BARAT,Kembangan,MERUYA UTARA,15 - 25,0,0.0,0,25.0
201602,JAKARTA BARAT,Kembangan,SRENGSENG,15 - 30,0,0.0,0,30.0
201602,JAKARTA SELATAN,Cilandak,CILANDAK BARAT,40 - 70,0,0.0,0,70.0
201602,JAKARTA SELATAN,Cilandak,LEBAK BULUS,20 - 40,0,0.0,0,40.0
201602,JAKARTA SELATAN,Cilandak,PONDOK LABU,20 - 200,0,0.0,0,200.0
201602,JAKARTA SELATAN,Jagakarsa,CIGANJUR,20 - 60,168,72.0,0,60.0
201602,JAKARTA SELATAN,Jagakarsa,JAGAKARSA,15 - 30,0,0.0,0,30.0
201602,JAKARTA SELATAN,Jagakarsa,LENTENG AGUNG,50,0,0.0,0,50.0
201602,JAKARTA SELATAN,Jagakarsa,SRENGSENG SAWAH,10 - 30,362,0.0,0,30.0
201602,JAKARTA SELATAN,Kebayoran Baru,CIPETE UTARA,20 - 60,0,0.0,0,60.0
201602,JAKARTA SELATAN,Kebayoran Baru,PETOGOGAN,50,0,0.0,0,50.0
201602,JAKARTA SELATAN,Kebayoran Lama,GROGOL UTARA,5 - 10,0,0.0,0,10.0
201602,JAKARTA SELATAN,Mampang Prapatan,BANGKA,30 - 50,2062,0.0,0,50.0
201602,JAKARTA SELATAN,Mampang Prapatan,PELA MAMPANG,10 - 30,0,0.0,0,30.0
201602,JAKARTA SELATAN,Pancoran,KALIBATA,0 - 20,0,0.0,0,20.0
201602,JAKARTA SELATAN,Pancoran,PENGADEGAN,30 - 50,0,0.0,0,50.0
201602,JAKARTA SELATAN,Pancoran,RAWAJATI,10 - 70,0,0.0,0,70.0
201602,JAKARTA SELATAN,Pasar Minggu,KEBAGUSAN,30,0,0.0,0,30.0
201602,JAKARTA SELATAN,Pasar Minggu,PEJATEN TIMUR,80,443,0.0,0,80.0
201602,JAKARTA SELATAN,Tebet,BUKIT DURI,10 - 50,0,0.0,0,50.0
201602,JAKARTA SELATAN,Tebet,KEBON BARU,10 - 20,0,0.0,0,20.0
201602,JAKARTA TIMUR,Cakung,CAKUNG BARAT,30 - 70,0,0.0,0,70.0
201602,JAKARTA TIMUR,Cakung,CAKUNG TIMUR,0 - 30,0,0.0,0,30.0
201602,JAKARTA TIMUR,Cakung,JATINEGARA,10 - 20,0,0.0,0,20.0
201602,JAKARTA TIMUR,Cakung,RAWA TERATE,10 - 90,0,0.0,0,90.0
201602,JAKARTA TIMUR,Cipayung,CILANGKAP,10 - 20,0,0.0,0,20.0
201602,JAKARTA TIMUR,Cipayung,PONDOK RANGGON,30 - 40,0,0.0,0,40.0
201602,JAKARTA TIMUR,Ciracas,CIBUBUR,40 - 100,1500,0.0,0,100.0
201602,JAKARTA TIMUR,Ciracas,CIRACAS,30 - 80,300,0.0,0,80.0
201602,JAKARTA TIMUR,Ciracas,KELAPA DUA WETAN,20 - 90,0,0.0,0,90.0
201602,JAKARTA TIMUR,Ciracas,RAMBUTAN,30 - 80,60,30.0,0,80.0
201602,JAKARTA TIMUR,Jatinegara,BIDARA CINA,50 - 80,330,0.0,0,80.0
201602,JAKARTA TIMUR,Jatinegara,CIPINANG MUARA,0 - 30,780,0.0,0,30.0
201602,JAKARTA TIMUR,Jatinegara,KAMPUNG MELAYU,60 - 120,6687,0.0,0,120.0
201602,JAKARTA TIMUR,Kramat Jati,BALE KAMBANG,30 - 40,0,0.0,0,40.0
201602,JAKARTA TIMUR,Kramat Jati,BATU AMPAR,0 - 30,0,0.0,0,30.0
201602,JAKARTA TIMUR,Kramat Jati,CAWANG,10 - 120,6197,0.0,0,120.0
201602,JAKARTA TIMUR,Kramat Jati,CILILITAN,150 - 200,387,0.0,0,200.0
201602,JAKARTA TIMUR,Kramat Jati,DUKUH,20 - 40,0,0.0,0,40.0
201602,JAKARTA TIMUR,Makasar,CIPINANG MELAYU,40 - 100,40,40.0,0,100.0
201602,JAKARTA TIMUR,Makasar,HALIM PERDANA KUSUMA,20 - 50,3200,0.0,0,50.0
201602,JAKARTA TIMUR,Makasar,KEBON PALA,30,0,0.0,0,30.0
201602,JAKARTA TIMUR,Pasar Rebo,BARU,20 - 50,0,0.0,0,50.0
201602,JAKARTA TIMUR,Pasar Rebo,CIJANTUNG,0 - 30,15,0.0,0,30.0
201602,JAKARTA TIMUR,Pasar Rebo,GEDONG,0 - 50,0,0.0,0,50.0
201602,JAKARTA TIMUR,Pasar Rebo,KALISARI,50 - 70,1305,0.0,0,70.0
201602,JAKARTA TIMUR,Pasar Rebo,PEKAYON,50 - 100,0,0.0,0,100.0
201602,JAKARTA TIMUR,Pulo Gadung,RAWAMANGUN,30 - 40,0,0.0,0,40.0
201602,JAKARTA UTARA,Cilincing,KALI BARU,5 - 10,0,0.0,0,10.0
201602,JAKARTA UTARA,Cilincing,SEMPER BARAT,0 - 20,0,0.0,0,20.0
201602,JAKARTA UTARA,Cilincing,SEMPER TIMUR,10 - 25,0,0.0,0,25.0
201602,JAKARTA UTARA,Cilincing,SUKAPURA,10 - 20,0,0.0,0,20.0
201602,JAKARTA UTARA,Kelapa Gading,KELAPA GADING TIMUR,15 - 20,0,0.0,0,20.0
201602,JAKARTA UTARA,Koja,TUGU SELATAN,20,0,0.0,0,20.0
201602,JAKARTA UTARA,Penjaringan,KAPUK MUARA,20,0,0.0,0,20.0
201602,KOSONG,Kosong,KOSONG,KOSONG,KOSONG,0.0,KOSONG,
201602,KOSONG,Kosong,KOSONG,KOSONG,KOSONG,0.0,KOSONG,
201605,JAKARTA BARAT,Kebon Jeruk,DURI KEPA,60,0,0.0,0,60.0
201605,JAKARTA BARAT,Kebon Jeruk,KEDOYA SELATAN,60 - 80,0,0.0,0,80.0
201605,JAKARTA BARAT,Kedoya Selatan,KEMBANGAN SELATAN,10 - 30,0,0.0,0,30.0
201605,JAKARTA SELATAN,Cilandak,PONDOK LABU,30 - 70,0,0.0,0,70.0
201605,JAKARTA SELATAN,Kebayoran Lama,CIPULIR,40 - 100,0,0.0,0,100.0
201605,JAKARTA SELATAN,Pesanggrahan,ULUJAMI,15 - 20,0,0.0,0,20.0
201605,JAKARTA SELATAN,Pancoran,PENGADENGAN,10 - 20,0,0.0,0,20.0
201605,JAKARTA SELATAN,Pancoran,RAWAJATI,50 -70,0,0.0,0,70.0
201605,JAKARTA SELATAN,Pasar Minggu,PEJATEN TIMUR,30 - 60,0,0.0,0,60.0
201605,JAKARTA TIMUR,Jatinegara,BIDARA CINA,5 - 20,0,0.0,0,20.0
201605,JAKARTA TIMUR,Duren Sawit,PONDOK KELAPA,30 - 50,100,0.0,0,50.0
201605,JAKARTA TIMUR,Kramat Jati,CAWANG,30 - 80,5899,0.0,0,80.0
201605,JAKARTA TIMUR,Kramat Jati,CILILITAN,20 - 200,272,0.0,0,200.0
201605,JAKARTA TIMUR,Kramat Jati,DUKUH,30,0,0.0,0,30.0
201603,JAKARTA BARAT,Cengkareng,RAWA BUAYA,5 - 25,0,0.0,0,25.0
201603,JAKARTA BARAT,Taman Sari,PINANGSIA,10 - 50,0,0.0,0,50.0
201603,JAKARTA SELATAN,Cilandak,CILANDAK BARAT,50 - 60,0,0.0,0,60.0
201603,JAKARTA SELATAN,Cilandak,CIPETE SELATAN,80 - 85,225,200.0,0,85.0
201603,JAKARTA SELATAN,Cilandak,PONDOK LABU,20 - 100,425,0.0,0,100.0
