year,city_admin,subdistrict,ward,hazard_index,hazard_category
2023,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,PEJATEN TIMUR,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,BINTARO,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,PETUKANGAN SELATAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,PETUKANGAN UTARA,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,ULUJAMI,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Setiabudi,KARET KUNINGAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Setiabudi,KARET SEMANGGI,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Setiabudi,KUNINGAN TIMUR,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Setiabudi,SETIA BUDI,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Tebet,KEBON BARU,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Tebet,TEBET BARAT,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Tebet,TEBET TIMUR,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Cakung,CAKUNG BARAT,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Cakung,CAKUNG TIMUR,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Cakung,JATINEGARA,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Cakung,PULO GEBANG,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Cipayung,BAMBU APUS,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Ciracas,CIBUBUR,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Ciracas,CIRACAS,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Ciracas,RAMBUTAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Duren Sawit,DUREN SAWIT,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Duren Sawit,PONDOK BAMBU,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Jatinegara,BIDARA CINA,2.4,TINGGI
2023,KOTA ADM. JAKARTA TIMUR,Jatinegara,KAMPUNG MELAYU,2.2,TINGGI
2023,KOTA ADM. JAKARTA TIMUR,Kramat Jati,BALE KAMBANG,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Kramat Jati,CAWANG,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Kramat Jati,DUKUH,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Kramat Jati,KRAMAT JATI,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Makasar,CIPINANG MELAYU,1.4,RENDAH
