waterway,name,geometry_wkt
drain,,"LINESTRING (106.849072 -6.290604, 106.849288 -6.290602)"
canal,,"LINESTRING (106.871973 -6.287833, 106.871764 -6.287814, 106.871495 -6.287747, 106.871208 -6.287662, 106.871112 -6.287563)"
canal,,"LINESTRING (106.871112 -6.287563, 106.870883 -6.287507, 106.870655 -6.287452)"
river,Kali Cipinang,"LINESTRING (106.872131 -6.28751, 106.872204 -6.287299)"
canal,Kali Baru Timur,"LINESTRING (106.872008 -6.293602, 106.872078 -6.293212, 106.872056 -6.2931, 106.872021 -6.292863, 106.871944 -6.292554, 106.871858 -6.292223, 106.871654 -6.291557, 106.870981 -6.289675, 106.870734 -6.28842, 106.870686 -6.288068, 106.87067 -6.287745, 106.870655 -6.287452, 106.87065 -6.287364, 106.870668 -6.286572, 106.87068 -6.286036, 106.870721 -6.285757, 106.870842 -6.285492, 106.87102 -6.285195, 106.871068 -6.284974, 106.871073 -6.284854, 106.871084 -6.284588, 106.871225 -6.284057, 106.871345 -6.283557, 106.871442 -6.28315, 106.871663 -6.282523, 106.87178 -6.282179, 106.871828 -6.282051, 106.871852 -6.281919, 106.871844 -6.281824, 106.871796 -6.281748, 106.871683 -6.281588, 106.871253 -6.281112, 106.871104 -6.28096, 106.871011 -6.280805, 106.87096 -6.280685, 106.870917 -6.280567, 106.870793 -6.280333, 106.87069 -6.280094, 106.870542 -6.279847)"
drain,,"LINESTRING (106.874888 -6.285893, 106.874809 -6.285956)"
river,Kali Cipinang,"LINESTRING (106.872204 -6.287299, 106.872232 -6.287171, 106.872313 -6.287172, 106.872728 -6.287284, 106.872811 -6.287276, 106.872897 -6.287235, 106.872971 -6.287121, 106.873036 -6.286981, 106.873036 -6.286845, 106.873071 -6.286768, 106.873191 -6.2867, 106.873302 -6.28664, 106.873354 -6.286546, 106.873465 -6.286495, 106.873929 -6.286461, 106.874083 -6.286427, 106.874212 -6.286376, 106.874298 -6.286273, 106.874281 -6.28615, 106.874288 -6.286013, 106.874328 -6.285942, 106.8744 -6.285915, 106.874582 -6.285907, 106.874654 -6.285883, 106.874701 -6.285842, 106.874709 -6.285756, 106.87468 -6.285673, 106.874619 -6.285516, 106.8746 -6.285437, 106.874658 -6.285345, 106.875117 -6.285042, 106.875307 -6.284955, 106.875447 -6.284931, 106.875735 -6.284927, 106.875915 -6.284863, 106.876073 -6.284768, 106.876162 -6.28466, 106.876226 -6.28447, 106.876212 -6.284243, 106.875748 -6.283091, 106.87556 -6.282682, 106.874581 -6.280549, 106.874547 -6.280361, 106.874578 -6.28023, 106.874708 -6.280103)"
river,Ci Liwung,"LINESTRING (106.854617 -6.290632, 106.854569 -6.290409, 106.854444 -6.290308, 106.854184 -6.290206, 106.853958 -6.290202, 106.853555 -6.290301, 106.853152 -6.290529, 106.852827 -6.290788, 106.852646 -6.290873, 106.852426 -6.290958, 106.852267 -6.290984, 106.851763 -6.291005, 106.851663 -6.291105, 106.851624 -6.291283, 106.851587 -6.29167, 106.851595 -6.292048, 106.851535 -6.292158, 106.851506 -6.292328, 106.851535 -6.292502, 106.851377 -6.292746, 106.851282 -6.292832, 106.851094 -6.292926, 106.850918 -6.2929, 106.850568 -6.292809, 106.850318 -6.292628, 106.850261 -6.292539, 106.850142 -6.292297, 106.850037 -6.292074, 106.849471 -6.290853, 106.849385 -6.290597, 106.849379 -6.290377, 106.849494 -6.290175, 106.849732 -6.29014, 106.849917 -6.290102, 106.850284 -6.289986, 106.850588 -6.289899, 106.850791 -6.289845, 106.850973 -6.289685, 106.851065 -6.289497, 106.85128 -6.288988, 106.851325 -6.288728, 106.85128 -6.28831, 106.85122 -6.288208, 106.851043 -6.288098, 106.850793 -6.287936, 106.850601 -6.287855, 106.850428 -6.287826, 106.850099 -6.287987, 106.849986 -6.28817, 106.849871 -6.288337, 106.84965 -6.288494, 106.849419 -6.288521, 106.849382 -6.288512, 106.848497 -6.288044, 106.84833 -6.28788, 106.848128 -6.287664, 106.84797 -6.287454, 106.847798 -6.287213, 106.847711 -6.287048, 106.847571 -6.286836, 106.847485 -6.286436, 106.84745 -6.286244, 106.847406 -6.285948, 106.847358 -6.285579, 106.847674 -6.284998, 106.848047 -6.284568, 106.848239 -6.28441, 106.848374 -6.284301, 106.848625 -6.284071, 106.848699 -6.283957, 106.848807 -6.283842, 106.848872 -6.283805, 106.848915 -6.28364, 106.848867 -6.283482, 106.848787 -6.283341, 106.848591 -6.2833, 106.848425 -6.283406, 106.848292 -6.283479, 106.848115 -6.283492, 106.847904 -6.283466, 106.847752 -6.283396, 106.847643 -6.283271, 106.847618 -6.283067, 106.847671 -6.282915, 106.84772 -6.282852, 106.847754 -6.28278, 106.847798 -6.282706, 106.847956 -6.282535, 106.848034 -6.282432, 106.848136 -6.282293, 106.84831 -6.282073, 106.848473 -6.281884, 106.848567 -6.28173, 106.848791 -6.281404, 106.848888 -6.281286, 106.849005 -6.281206, 106.849072 -6.281123, 106.849102 -6.280988, 106.8494 -6.280627, 106.849587 -6.280442, 106.849894 -6.28028, 106.850289 -6.279987, 106.850397 -6.27988, 106.850486 -6.279733, 106.850496 -6.279677, 106.850466 -6.279563, 106.850294 -6.279473, 106.850033 -6.279482, 106.849444 -6.279559, 106.848957 -6.279642, 106.848448 -6.279795, 106.848315 -6.279895, 106.848113 -6.279974, 106.847833 -6.280025, 106.847434 -6.27988, 106.847259 -6.279772, 106.847035 -6.279544, 106.847008 -6.279517, 106.846822 -6.27934, 106.846796 -6.27905, 106.846892 -6.278804, 106.847542 -6.278364, 106.84776 -6.278237, 106.847956 -6.278106, 106.848136 -6.277985, 106.848574 -6.277618, 106.848819 -6.277345, 106.848964 -6.277086, 106.849091 -6.276933, 106.849234 -6.276632, 106.849455 -6.276518, 106.849756 -6.276512, 106.850352 -6.276722, 106.850623 -6.276765, 106.850765 -6.276751, 106.85094 -6.276773, 106.851327 -6.27661, 106.851542 -6.276473, 106.851764 -6.276093, 106.851804 -6.276008, 106.852005 -6.275501, 106.852031 -6.275336, 106.852025 -6.275182, 106.851734 -6.274534, 106.851515 -6.2742, 106.851375 -6.273998, 106.851274 -6.273834, 106.851282 -6.273616, 106.851457 -6.273426, 106.851766 -6.273221, 106.852034 -6.273142, 106.852332 -6.27322, 106.8526 -6.273284, 106.8531 -6.273373, 106.853315 -6.273329, 106.853466 -6.27318, 106.85362 -6.272949, 106.853571 -6.272797, 106.853554 -6.272563, 106.853508 -6.272352, 106.85354 -6.272059, 106.853632 -6.271914, 106.853982 -6.271914, 106.854403 -6.271943, 106.854796 -6.27217, 106.855158 -6.272436, 106.855454 -6.272582, 106.8564 -6.272686, 106.85658 -6.272721, 106.856703 -6.272696)"
river,Kali Cipinang,"LINESTRING (106.874708 -6.280103, 106.875234 -6.279886)"
canal,Kali Baru Timur,"LINESTRING (106.870542 -6.279847, 106.870486 -6.279754)"
river,,"LINESTRING (106.832906 -6.289124, 106.833211 -6.289108, 106.833243 -6.288628, 106.833286 -6.288255, 106.833587 -6.288073, 106.833651 -6.287935, 106.833941 -6.287903, 106.834198 -6.2877, 106.834424 -6.28738, 106.834563 -6.287295, 106.834795 -6.286732, 106.83533 -6.286673, 106.835316 -6.286545, 106.835272 -6.286171, 106.835159 -6.285535, 106.83511 -6.285119, 106.835078 -6.284351, 106.834968 -6.283825, 106.834992 -6.283637, 106.834937 -6.283378, 106.834547 -6.283152, 106.834542 -6.283005, 106.83454 -6.282872, 106.834458 -6.282757, 106.834215 -6.282659, 106.834 -6.282634, 106.833968 -6.282395, 106.834043 -6.281754, 106.834006 -6.281409, 106.833875 -6.281143, 106.833984 -6.28096, 106.833941 -6.280854, 106.834043 -6.280555, 106.834284 -6.279894, 106.834301 -6.279786, 106.834305 -6.279732, 106.834354 -6.279494, 106.834397 -6.279296, 106.834246 -6.279227, 106.834086 -6.279104, 106.833996 -6.278962, 106.833914 -6.278885, 106.833908 -6.278686, 106.833831 -6.278607, 106.833741 -6.278461, 106.833769 -6.278315, 106.833672 -6.277963, 106.833479 -6.277718, 106.833361 -6.277388, 106.833447 -6.27711, 106.833424 -6.276724, 106.833187 -6.276474, 106.83317 -6.276309, 106.832993 -6.276156, 106.832924 -6.275904, 106.832993 -6.275617, 106.832955 -6.27545, 106.832876 -6.275259, 106.832906 -6.27509, 106.83288 -6.275017, 106.832651 -6.274972, 106.832637 -6.274682, 106.832615 -6.274632, 106.832629 -6.274543, 106.832659 -6.274378, 106.832492 -6.274242, 106.83231 -6.274028, 106.832324 -6.273963, 106.832363 -6.273875, 106.832394 -6.273819, 106.832396 -6.27371, 106.832348 -6.273659, 106.832289 -6.273511, 106.832294 -6.273409, 106.832292 -6.273348, 106.832258 -6.273273, 106.832198 -6.273194, 106.832175 -6.273121, 106.832205 -6.273049, 106.83223 -6.272884, 106.83219 -6.27274, 106.832179 -6.27262, 106.832265 -6.272518, 106.832355 -6.272462, 106.832418 -6.272389, 106.832428 -6.272332, 106.832411 -6.272293, 106.832352 -6.272226, 106.832337 -6.272164, 106.832332 -6.272118, 106.832333 -6.27198, 106.832422 -6.2718, 106.832466 -6.27171, 106.832453 -6.271618, 106.832487 -6.271505)"
canal,Kali Baru Barat,"LINESTRING (106.836489 -6.301307, 106.83638 -6.300849, 106.836299 -6.300402, 106.836235 -6.299529, 106.836203 -6.298919, 106.836192 -6.298716, 106.836188 -6.298681, 106.836002 -6.297306, 106.835997 -6.297197, 106.836013 -6.29713, 106.836057 -6.29703, 106.836187 -6.296789, 106.836624 -6.296186, 106.836879 -6.295848, 106.837322 -6.295346, 106.837619 -6.295026, 106.837685 -6.294924, 106.837861 -6.294694, 106.837933 -6.294597, 106.838009 -6.294544, 106.838081 -6.294514, 106.838116 -6.294509, 106.838234 -6.294474, 106.838321 -6.294394, 106.838425 -6.294297, 106.838816 -6.294122, 106.839065 -6.293987, 106.839128 -6.293977, 106.839274 -6.293911, 106.839682 -6.293786, 106.839767 -6.293722, 106.84006 -6.293468, 106.84023 -6.293309, 106.840339 -6.293208, 106.840902 -6.292784, 106.841241 -6.292534, 106.841366 -6.292331, 106.841513 -6.291999, 106.841688 -6.291491, 106.842039 -6.290653, 106.842207 -6.290226, 106.842329 -6.289947, 106.842446 -6.289603, 106.842512 -6.289455, 106.842568 -6.289306, 106.842642 -6.289116, 106.842729 -6.288884, 106.842789 -6.288776, 106.842897 -6.288652, 106.843085 -6.288311, 106.843137 -6.287932, 106.843179 -6.287695, 106.843233 -6.287252, 106.843282 -6.286935, 106.843453 -6.285946, 106.843524 -6.285357, 106.843577 -6.285058, 106.843737 -6.284064, 106.843803 -6.283925, 106.84392 -6.28372, 106.844048 -6.283466, 106.844119 -6.283336, 106.844199 -6.283022, 106.844323 -6.282478, 106.844552 -6.281481, 106.844602 -6.281206, 106.844672 -6.280726, 106.844741 -6.280068, 106.844885 -6.27951, 106.84516 -6.278687, 106.845246 -6.278484, 106.845536 -6.277572, 106.845797 -6.27655, 106.846012 -6.275068, 106.846076 -6.274588, 106.84614 -6.273938, 106.846173 -6.272927, 106.846198 -6.272462, 106.846217 -6.272241, 106.846245 -6.271782, 106.846273 -6.271583, 106.846273 -6.271299, 106.846298 -6.271047, 106.846396 -6.270891, 106.846297 -6.270304, 106.846001 -6.269448, 106.845733 -6.268968, 106.845604 -6.268424, 106.844623 -6.26695, 106.844409 -6.266628, 106.844246 -6.266304, 106.843931 -6.265651, 106.843287 -6.264361, 106.843115 -6.26274, 106.843051 -6.261129, 106.843158 -6.259967, 106.843213 -6.259154, 106.843319 -6.258356, 106.843351 -6.258004, 106.843244 -6.257418, 106.842944 -6.25568, 106.842774 -6.255293, 106.842451 -6.254824, 106.842062 -6.254256, 106.841964 -6.254062, 106.841935 -6.253819, 106.841904 -6.253446, 106.841904 -6.253311, 106.84193 -6.253206, 106.842377 -6.2521, 106.842459 -6.251851, 106.842545 -6.251489, 106.842584 -6.250783, 106.842621 -6.250156, 106.842685 -6.248253, 106.842647 -6.247495, 106.842709 -6.246486, 106.842738 -6.246168, 106.842772 -6.245804, 106.842788 -6.245506, 106.842814 -6.245177, 106.842702 -6.244377, 106.842844 -6.243661)"
river,,"LINESTRING (106.832487 -6.271505, 106.832463 -6.271214, 106.83213 -6.271141, 106.832123 -6.27104, 106.832151 -6.271006, 106.83221 -6.270934, 106.832226 -6.27092, 106.83227 -6.270875, 106.832317 -6.270809, 106.832356 -6.270735, 106.832377 -6.270525, 106.832372 -6.270407, 106.832376 -6.270312, 106.832407 -6.270235, 106.83244 -6.270139, 106.832468 -6.270101, 106.832515 -6.270047, 106.832561 -6.270003, 106.832588 -6.269963, 106.83259 -6.269908, 106.832599 -6.269848, 106.832674 -6.26984, 106.83271 -6.269824, 106.832726 -6.26977, 106.832711 -6.269703, 106.83267 -6.269618, 106.832624 -6.26955, 106.832561 -6.26948, 106.832502 -6.269412, 106.832504 -6.269357, 106.832565 -6.269227, 106.832669 -6.269147, 106.832723 -6.26911, 106.832795 -6.269076, 106.832911 -6.269045, 106.832956 -6.268996, 106.832945 -6.268912, 106.832887 -6.268833, 106.832773 -6.268765, 106.832693 -6.268704, 106.832598 -6.268671, 106.832496 -6.268661, 106.832417 -6.26868, 106.832397 -6.268607, 106.832376 -6.268603, 106.832368 -6.268531, 106.832361 -6.268503, 106.832294 -6.268509, 106.832233 -6.268504, 106.832181 -6.26848, 106.832145 -6.26841, 106.83213 -6.268362, 106.832113 -6.268307, 106.832083 -6.268252, 106.83203 -6.268155, 106.832002 -6.268058, 106.831976 -6.267894, 106.831922 -6.26783, 106.83187 -6.267714, 106.831822 -6.26758, 106.831829 -6.267488, 106.831868 -6.267426, 106.831894 -6.267396, 106.83192 -6.267367, 106.831981 -6.267341, 106.832063 -6.267324, 106.832105 -6.267294, 106.832125 -6.267212, 106.832126 -6.267152, 106.832087 -6.267058, 106.83205 -6.266984, 106.83204 -6.266918, 106.832065 -6.266892, 106.832091 -6.266856, 106.83213 -6.26685, 106.832177 -6.266834, 106.83221 -6.26677, 106.832222 -6.266709, 106.832215 -6.26663, 106.832148 -6.266546, 106.83203 -6.266424, 106.831901 -6.266273, 106.831861 -6.266184, 106.831838 -6.266122, 106.831839 -6.26609, 106.831806 -6.266077, 106.83172 -6.266102, 106.831632 -6.266148, 106.831587 -6.266229, 106.831562 -6.266296, 106.831509 -6.266356, 106.83143 -6.266312, 106.831354 -6.26625, 106.831284 -6.26614, 106.831244 -6.266096, 106.831182 -6.266008, 106.831155 -6.26594, 106.831123 -6.265878, 106.83108 -6.265823, 106.830918 -6.26578, 106.830828 -6.26585, 106.830779 -6.265967, 106.830458 -6.266163, 106.830388 -6.266178, 106.830348 -6.26612, 106.830255 -6.265844, 106.830203 -6.265826, 106.830104 -6.265835, 106.829993 -6.26589, 106.829895 -6.265915, 106.829796 -6.265927, 106.829688 -6.265924, 106.829602 -6.26589, 106.829491 -6.265875, 106.829322 -6.265872, 106.829214 -6.265878, 106.829174 -6.265896, 106.82909 -6.265915, 106.829007 -6.265905, 106.828828 -6.265831, 106.828725 -6.265836, 106.828671 -6.265883, 106.828593 -6.265908, 106.828506 -6.265891, 106.828472 -6.265855, 106.828472 -6.265794, 106.828469 -6.265724, 106.828386 -6.26556, 106.828249 -6.265429, 106.828083 -6.265381, 106.82735 -6.26549)"
river,Mampang,"LINESTRING (106.82893 -6.278934, 106.828834 -6.278786, 106.828678 -6.278409, 106.828615 -6.278143, 106.828512 -6.278099, 106.828344 -6.277596, 106.828374 -6.27741, 106.828426 -6.277217, 106.828492 -6.276991, 106.82869 -6.276844, 106.8289 -6.276687, 106.828975 -6.27657, 106.828984 -6.276086, 106.828968 -6.275909, 106.829029 -6.275701, 106.829043 -6.275551, 106.828874 -6.275329, 106.828812 -6.275127, 106.828812 -6.274743, 106.829091 -6.274487, 106.829118 -6.27431, 106.829081 -6.274156, 106.82893 -6.274028, 106.828898 -6.273858, 106.828952 -6.27374, 106.828923 -6.273574, 106.828769 -6.273356, 106.828716 -6.273282, 106.828662 -6.273175, 106.828737 -6.273079, 106.828866 -6.272983, 106.828941 -6.272887, 106.828792 -6.272687, 106.828792 -6.272671, 106.828797 -6.272561, 106.828878 -6.27251, 106.828911 -6.272402, 106.828882 -6.272264, 106.828781 -6.272118, 106.828647 -6.271933, 106.828666 -6.271792, 106.828796 -6.271602, 106.828875 -6.271444, 106.828777 -6.271284, 106.828709 -6.270979, 106.828716 -6.270867, 106.829013 -6.270508, 106.828949 -6.270348, 106.828741 -6.270235, 106.82896 -6.269782, 106.829095 -6.269456, 106.829005 -6.269219, 106.828787 -6.268959, 106.828716 -6.268632, 106.82848 -6.268248, 106.828382 -6.267789, 106.828379 -6.267758, 106.828398 -6.267735, 106.82849 -6.267681, 106.828513 -6.26764, 106.828521 -6.267584, 106.828502 -6.267532, 106.828454 -6.267457, 106.828401 -6.267354, 106.828383 -6.267235, 106.82833 -6.266904, 106.828276 -6.266776, 106.82813 -6.266566, 106.828039 -6.266506, 106.82796 -6.266408, 106.827915 -6.266052, 106.827874 -6.265976, 106.827852 -6.265896, 106.827825 -6.265688, 106.82735 -6.26549, 106.827244 -6.265445, 106.827039 -6.265459, 106.826896 -6.26555, 106.826777 -6.265566, 106.826662 -6.265573, 106.826619 -6.265488, 106.826481 -6.265155, 106.826404 -6.265053, 106.82631 -6.264873, 106.826274 -6.264341, 106.826274 -6.264144, 106.826317 -6.263889, 106.826343 -6.263684, 106.826257 -6.263428, 106.826146 -6.263172, 106.826103 -6.262976, 106.826034 -6.262506, 106.826 -6.262208, 106.825948 -6.261892, 106.825888 -6.261551, 106.825802 -6.261227, 106.82557 -6.261039, 106.825287 -6.260902, 106.825056 -6.260715, 106.824784 -6.260546, 106.824634 -6.260427, 106.824571 -6.260276, 106.824587 -6.260075, 106.824742 -6.260014, 106.824853 -6.259972, 106.824916 -6.2599, 106.824987 -6.259756, 106.824957 -6.259652, 106.824864 -6.259494, 106.824911 -6.259199, 106.824846 -6.258958, 106.824779 -6.258683, 106.82479 -6.2583, 106.824858 -6.257703, 106.824841 -6.257387, 106.824858 -6.25702, 106.82479 -6.256662, 106.82479 -6.256406, 106.824729 -6.255962, 106.824875 -6.255681, 106.825013 -6.255536, 106.825116 -6.255382, 106.825373 -6.255084, 106.825287 -6.254632, 106.825149 -6.254625, 106.825014 -6.254632, 106.824686 -6.254597, 106.824552 -6.254416, 106.824503 -6.25443, 106.824463 -6.25449, 106.8244 -6.254531, 106.824274 -6.254512, 106.824189 -6.254316, 106.823975 -6.254152, 106.823871 -6.253804, 106.823725 -6.253949, 106.823668 -6.253976, 106.823602 -6.253974, 106.82355 -6.253891, 106.823497 -6.253885, 106.823401 -6.253916, 106.823309 -6.25393, 106.823238 -6.253856, 106.823293 -6.253705, 106.82333 -6.253513, 106.823382 -6.253318, 106.82367 -6.253216, 106.823699 -6.253036, 106.823571 -6.252652, 106.823554 -6.252242, 106.823794 -6.252146, 106.82396 -6.25196, 106.823904 -6.25167, 106.82396 -6.251252, 106.823953 -6.250768, 106.823921 -6.250529, 106.823895 -6.249882, 106.823744 -6.249179, 106.823639 -6.249043, 106.823413 -6.248563, 106.823202 -6.24834, 106.822817 -6.248116, 106.822549 -6.247713, 106.822435 -6.247106, 106.822352 -6.246877, 106.822272 -6.246605, 106.822381 -6.246171, 106.82247 -6.24594, 106.822623 -6.245728, 106.822677 -6.245432, 106.822629 -6.244858, 106.822606 -6.244611, 106.822628 -6.244542, 106.822685 -6.244512, 106.822856 -6.244484, 106.823032 -6.244458, 106.823235 -6.244408, 106.823308 -6.24436, 106.823404 -6.244205, 106.823458 -6.243956, 106.823485 -6.243863, 106.823508 -6.243806, 106.823566 -6.243652, 106.823543 -6.243593, 106.82348 -6.243516, 106.823319 -6.243484, 106.823209 -6.243432, 106.823178 -6.243381, 106.82318 -6.243332, 106.823426 -6.243099, 106.823469 -6.242989, 106.82348 -6.242921, 106.823459 -6.242878, 106.823279 -6.242594, 106.823106 -6.242325, 106.82299 -6.242337, 106.822839 -6.242427, 106.822694 -6.242397, 106.822615 -6.242329, 106.82249 -6.242287, 106.822359 -6.242315, 106.822258 -6.242295, 106.822192 -6.242174, 106.82212 -6.242085, 106.82205 -6.242082, 106.821929 -6.242093, 106.821788 -6.242105, 106.821644 -6.242042, 106.821496 -6.24193, 106.821441 -6.241837, 106.821363 -6.241756, 106.821344 -6.241654, 106.821392 -6.241594, 106.821483 -6.241578, 106.821628 -6.241558, 106.821688 -6.241426, 106.82167 -6.241243, 106.821544 -6.240998, 106.821466 -6.240821, 106.821359 -6.240661)"
river,Kali Cideng,"LINESTRING (106.835644 -6.252516, 106.835666 -6.252354, 106.83574 -6.252117, 106.83578 -6.252013, 106.835787 -6.251946, 106.835759 -6.251893, 106.835733 -6.251845)"
river,Kali Cideng,"LINESTRING (106.835733 -6.251845, 106.835736 -6.251751)"
river,Kali Cideng,"LINESTRING (106.835736 -6.251751, 106.835737 -6.251714, 106.835725 -6.251611, 106.835736 -6.251535, 106.835724 -6.25132, 106.835714 -6.251217, 106.835743 -6.251112, 106.835747 -6.250989)"
river,Kali Cideng,"LINESTRING (106.835747 -6.250989, 106.835749 -6.250916)"
river,Kali Cideng,"LINESTRING (106.835749 -6.250916, 106.835754 -6.250755, 106.835761 -6.250435, 106.83573 -6.250392, 106.835684 -6.250336, 106.835679 -6.250308, 106.835637 -6.250075, 106.835617 -6.249992, 106.835611 -6.249955, 106.835613 -6.249923, 106.835596 -6.249838, 106.835577 -6.249722, 106.835528 -6.249623, 106.835487 -6.249494, 106.835446 -6.249394, 106.835417 -6.249287, 106.835329 -6.24898, 106.835248 -6.248839, 106.835231 -6.248725, 106.835219 -6.248681, 106.835212 -6.248655, 106.835206 -6.248575, 106.835218 -6.248484, 106.835304 -6.248091, 106.835372 -6.247344)"
river,Kali Cideng,"LINESTRING (106.835372 -6.247344, 106.835373 -6.247325, 106.835397 -6.247203, 106.835446 -6.246926, 106.835463 -6.246825, 106.83547 -6.246787, 106.835473 -6.246749, 106.83548 -6.246724, 106.83549 -6.246692, 106.835492 -6.246677, 106.835506 -6.246617, 106.835512 -6.246558, 106.835518 -6.246494, 106.835538 -6.246359, 106.835543 -6.246288, 106.835537 -6.246203, 106.835539 -6.246159, 106.835529 -6.246109, 106.835527 -6.246048, 106.835522 -6.245973, 106.8355 -6.24589, 106.835475 -6.245796, 106.83543 -6.245671, 106.835458 -6.245456, 106.83543 -6.245184, 106.835384 -6.24463, 106.835341 -6.244276, 106.835321 -6.244237, 106.835301 -6.244146, 106.835277 -6.244065, 106.835242 -6.243943, 106.835235 -6.243853, 106.835219 -6.243734, 106.835272 -6.24355, 106.835302 -6.243393, 106.835301 -6.243328, 106.835318 -6.243264, 106.835347 -6.243155, 106.835327 -6.243116, 106.835321 -6.242999, 106.835286 -6.242899, 106.835268 -6.242795, 106.835247 -6.242744, 106.835227 -6.242672, 106.835227 -6.242603, 106.835208 -6.24253, 106.835188 -6.24246, 106.835166 -6.2423, 106.835144 -6.241986, 106.83528 -6.241397)"
drain,,"LINESTRING (106.889546 -6.268981, 106.889849 -6.267438, 106.89045 -6.265774, 106.890906 -6.264846)"
