data_period,city_admin,subdistrict,ward,water_height_cm,people_affected,max_evacuees,deaths,max_water_cm
202001,JAKARTA BARAT,Kalideres,TEGAL ALUR,31 S/D 150 CM,1208,10,0,150.0
202001,JAKARTA BARAT,Kebon Jeruk,DURI KEPA,31 S/D 70 CM,130,4,0,70.0
202001,JAKARTA BARAT,Kebon Jeruk,KEDOYA SELATAN,10 S/D 150 CM,36,1,0,150.0
202001,JAKARTA BARAT,Kebon Jeruk,KEDOYA UTARA,31 S/D 100 CM,1238,15,0,100.0
202001,JAKARTA BARAT,Kebon Jeruk,SUKABUMI UTARA,10 S/D 140 CM,0,0,0,140.0
202001,JAKARTA BARAT,Kebon Jeruk,SUKABUMI SELATAN,30 S/D 100 CM,0,0,0,100.0
202001,JAKARTA BARAT,Kebon Jeruk,KELAPA DUA,60 CM,0,0,0,60.0
202001,JAKARTA BARAT,Kembangan,JOGLO,31 S/D 150 CM,0,0,0,150.0
202001,JAKARTA BARAT,Kembangan,KEMBANGAN SELATAN,31 S/D 120 CM,710,6,0,120.0
202001,JAKARTA BARAT,Kembangan,KEMBANGAN UTARA,30 S/D 90 CM,961,7,0,90.0
202001,JAKARTA BARAT,Kembangan,MERUYA SELATAN,80 CM,0,0,0,80.0
202001,JAKARTA BARAT,Kembangan,MERUYA UTARA,31 S/D 70 CM,0,0,0,70.0
202001,JAKARTA BARAT,Kembangan,SRENGSENG,71 S/D 150 CM,15,1,0,150.0
202001,JAKARTA BARAT,Palmerah,JATI PULO,10 S/D 30 CM,0,0,0,30.0
202001,JAKARTA BARAT,Palmerah,KEMANGGISAN,31 S/D 150 CM,0,0,0,150.0
202001,JAKARTA BARAT,Palmerah,KOTA BAMBU SELATAN,31 S/D 150 CM,0,0,0,150.0
202001,JAKARTA BARAT,Palmerah,KOTA BAMBU UTARA,10 S/D 70 CM,0,0,0,70.0
202001,JAKARTA BARAT,Palmerah,PALMERAH,31 S/D 70 CM,0,0,0,70.0
202001,JAKARTA BARAT,Palmerah,SLIPI,31 S/D 70 CM,0,0,0,70.0
202001,JAKARTA SELATAN,Cilandak,CILANDAK BARAT,71 S/D180 CM,300,2,0,180.0
202001,JAKARTA SELATAN,Cilandak,CIPETE SELATAN,10 S/D 30 CM,65,2,0,30.0
