data_period,city_admin,subdistrict,ward,water_height_cm,people_affected,max_evacuees,deaths,max_water_cm
201710,JAKARTA BARAT,Kec. Kebon Jeruk,KEL. SUKABUMI SELATAN,10 S/D 70 CM,0,0,0,70.0
201710,JAKARTA SELATAN,Kec. Mampang Prapatan,KEL. BANGKA,20 S/D 80 CM,0,0,0,80.0
201710,JAKARTA SELATAN,Kec. Pancoran,KEL. PANCORAN,70 S/D 100 CM,0,0,0,100.0
201710,JAKARTA SELATAN,Kec. Cilandak,KEL. PONDOK LABU,40 S/D 70 CM,0,0,0,70.0
201710,JAKARTA SELATAN,Kec. Pasar Minggu,KEL. JATI PADANG,10 S/D 60 CM,0,0,0,60.0
201710,JAKARTA SELATAN,Kec. Pasar Minggu,KEL.CILANDAK TIMUR,20 S/D 105 CM,0,0,0,105.0
201710,JAKARTA SELATAN,Kec. Kebayoran Baru,KEL. CIPETE UTARA,50 CM,0,0,0,50.0
201710,JAKARTA SELATAN,Kec. Kebayoran Baru,KEL. PETOGOGAN,20 S/D 70 CM,0,0,0,70.0
201710,JAKARTA TIMUR,Kec. Jatinegara,KEL. KAMPUNG MELAYU,30 S/D 50 CM,0,0,0,50.0
201710,JAKARTA TIMUR,Kec. Jatinegara,KEL. CIPINANG MUARA,20 S/D 40 CM,0,0,0,40.0
201710,JAKARTA TIMUR,Kec. Makasar,KEL. CIPINANG MELAYU,20 S/D 45 CM,0,0,0,45.0
201712,JAKARTA BARAT,Kalideres,KAMAL,20 S/D 30 CM,0,0,0,30.0
201712,JAKARTA BARAT,Grogol Petamburan,JELAMBAR BARU,10 S/D 20 CM,0,0,0,20.0
201712,JAKARTA SELATAN,Pasar Minggu,JATI PADANG,5 - 50 CM,35,1,0,50.0
201712,JAKARTA SELATAN,Pancoran,KALIBATA,20 S/D 30 CM,0,0,0,30.0
201712,JAKARTA SELATAN,Setiabudi,KUNINGAN TIMUR,20 S/D 25 CM,0,0,0,25.0
201712,JAKARTA SELATAN,Tebet,KEBON BARU,40 CM,0,0,0,40.0
201712,JAKARTA SELATAN,Tebet,BUKIT DURI,20 S/D 30 CM,0,0,0,30.0
201712,JAKARTA SELATAN,Tebet,MANGGARAI,20 CM,0,0,0,20.0
201712,JAKARTA SELATAN,Jagakarsa,JAGAKARSA,10 S/D 20 CM,0,0,0,20.0
201712,JAKARTA SELATAN,Cilandak,PONDOK LABU,50 S/D 70 CM,0,0,0,70.0
201712,JAKARTA TIMUR,Makasar,CIPINANG MELAYU,20 S/D 50 CM,0,0,0,50.0
201712,JAKARTA TIMUR,Jatinegara,CIPINANG MUARA,20 S/D 40 CM,0,0,0,40.0
201712,JAKARTA TIMUR,Cakung,RAWA TERATE,20 S/D 40 CM,0,0,0,40.0
201712,JAKARTA TIMUR,Pasar Rebo,KALISARI,20 S/D 40 CM,0,0,0,40.0
201712,JAKARTA TIMUR,Kramat Jati,CILILITAN,10 S/D 50 CM,0,0,0,50.0
201712,JAKARTA UTARA,Penjaringan,KAPUK MUARA,5 S/D 15 CM,0,0,0,15.0
