data_period,city_admin,subdistrict,ward,water_height_cm,people_affected,max_evacuees,deaths,max_water_cm
201903,JAKARTA TIMUR,Kec. Kramat Jati,KEL.CAWANG,10 S/D 80 CM,0,0,0,80.0
201903,JAKARTA TIMUR,Kec. Makasar,KEL. CIPINANG MELAYU,5 S/D 10 CM,0,0,0,10.0
201903,JAKARTA TIMUR,Kec. Cakung,KEL. RAWA TERATE,10 CM S/D 20 CM,0,0,0,20.0
201903,JAKARTA TIMUR,Kec. Cakung,KEL. JATINEGARA,20 CM,0,0,0,20.0
201903,JAKARTA TIMUR,Kec. Pasar Rebo,KEL. KALISARI,50 CM,0,0,0,50.0
201903,JAKARTA TIMUR,Kec. Ciracas,KEL. CIRACAS,50 CM,0,0,0,50.0
201902,JAKARTA UTARA,Kec. Penjaringan,KEL. KAMAL MUARA,5 CM,0,0,0,5.0
201902,JAKARTA BARAT,Kec. Kembangan,KEL. KEMBANGAN UTARA,50 S/D 60 CM,0,0,0,60.0
201902,JAKARTA BARAT,Kec. Kalideres,KEL. KAMAL,5 CM,0,0,0,5.0
201902,JAKARTA SELATAN,Kec. Kebayoran Lama,KEL. GROGOL SELATAN,10 S/D 50 CM,0,0,0,50.0
201902,JAKARTA SELATAN,Kec. Kebayoran Lama,KEL. CIPULIR,40 CM,0,0,0,40.0
201902,JAKARTA SELATAN,"Kec, Pasar Minggu",KEL. PEJATEN TIMUR,40 S/D 80 CM,171,0,0,80.0
201902,JAKARTA SELATAN,"Kec, Pasar Minggu",KEL. CILANDAK TIMUR,60 CM,0,0,0,60.0
201902,JAKARTA SELATAN,Kec. Pancoran,KEL. PENGEDEGAN,80 CM,12,0,0,80.0
201902,JAKARTA SELATAN,Kec. Pancoran,KEL. RAWAJATI,20 S/D 70 CM,0,0,0,70.0
201902,JAKARTA SELATAN,Kec. Pancoran,KEL. DUREN TIGA,40 S/D 70 CM,0,0,0,70.0
201902,JAKARTA SELATAN,Kec. Pancoran,KEL. KALIBATA,30 S/D 40 CM,0,0,0,40.0
201902,JAKARTA SELATAN,Kec. Tebet,KEL. KEBON BARU,5 S/D 10 CM,0,0,0,10.0
201902,JAKARTA SELATAN,Kec. Tebet,KEL. MANGGARAI,15 CM,0,0,0,15.0
201902,JAKARTA SELATAN,Kec. Kebayoran Baru,KEL PETOGOGAN,30 S/D 50 CM,0,0,0,50.0
201902,JAKARTA SELATAN,Kec. Mampang,KEL. KUNINGAN BARAT,20 S/D 40 CM,0,0,0,40.0
201902,JAKARTA SELATAN,Kec. Jagakarsa,KEL. CIPEDAK,50 S/D 70 CM,0,0,0,70.0
201902,JAKARTA SELATAN,Kec. Cilandak,KEL. CILANDAK BARAT,40 S/D 50 CM,0,0,0,50.0
201902,JAKARTA TIMUR,Kec. Makasar,KEL. CIPINANG MELAYU,40 S/D 60 CM,0,0,0,60.0
201902,JAKARTA TIMUR,Kec. Pasar Rebo,KEL. PEKAYON,20 S/D 60 CM,0,0,0,60.0
201902,JAKARTA TIMUR,Kec. Jatinegara,KEL. CIPINANG MUARA,20 S/D 40 CM,0,0,0,40.0
201902,JAKARTA TIMUR,Kec. Jatinegara,KEL. KAMPUNG MELAYU,10 S/D 100 CM,1003,0,0,100.0
201902,JAKARTA TIMUR,Kec. Jatinegara,KEL. BIDARA CINA,40 S/D 135,0,0,0,135.0
201902,JAKARTA TIMUR,Kec.Kramat Jati,KEL BALEKAMBANG,15 S/D 120 CM,0,0,0,120.0
201902,JAKARTA TIMUR,Kec.Kramat Jati,KEL. CAWANG,20 S/D 80 CM,0,0,0,80.0
201902,JAKARTA TIMUR,Kec.Kramat Jati,KEL. CILILITAN,20 S/D 90 CM,0,0,0,90.0
201905,JAKARTA SELATAN,Kec. Jagakarsa,KEL. JAGAKARSA,10 S/D 30 CM,0,0,0,30.0
201905,JAKARTA SELATAN,Kec. Pasar Minggu,KEL. PEJATEN TIMUR,20 S/D 40 CM,355,0,0,40.0
201905,JAKARTA SELATAN,Kec. Kebayoran Lama,KEL. CIPULIR,10 S/D 20 CM,0,0,0,20.0
201905,JAKARTA SELATAN,Kec. Kebayoran Lama,KEL. PONDOK PINANG,10 S/D 30 CM,0,0,0,30.0
201905,JAKARTA TIMUR,Kec. Jatinegara,KEL. KAMPUNG MELAYU,5 S/D 20 CM,0,0,0,20.0
201905,JAKARTA TIMUR,Kec. Jatinegara,KEL. BIDARA CINA,20 S/D 30 CM,0,0,0,30.0
201905,JAKARTA TIMUR,Kec. Makasar,KEL. CIPINANG MELAYU,20 S/D 100 CM,0,0,0,100.0
201912,JAKARTA BARAT,Kec. Cengkareng,KEL. RAWA BUAYA,15 CM,0,0,0,15.0
201912,JAKARTA BARAT,Kec. Kebon Jeruk,KEL. SUKABUMI SELATAN,20-100 CM,0,0,0,100.0
201912,JAKARTA BARAT,Kec. Palmerah,KEL. KOTA BAMBU UTARA,20-30 CM,0,0,0,30.0
201912,JAKARTA BARAT,Kec. Palmerah,KEL. PALMERAH,40CM,0,0,0,40.0
201912,JAKARTA BARAT,Kec. Kali Deres,KEL. TEGAL ALUR,30-70 CM,1264,0,0,70.0
201912,JAKARTA BARAT,Kec. Kali Deres,KEL. KAMAL,30 CM,0,0,0,30.0
201912,JAKARTA SELATAN,Kec. Pasar Minggu,KEL. JATI PADANG,20 S/D 60 CM,0,0,0,60.0
201912,JAKARTA SELATAN,Kec. Kebayoran Lama,KEL. PONDOK PINANG,25 S/D 75 CM,0,0,0,75.0
201912,JAKARTA SELATAN,Kec. Kebayoran Lama,KEL. CIPULIR,25 S/D 40 CM,0,0,0,40.0
201912,JAKARTA SELATAN,Kec. Kebayoran Lama,KEL. KEBAYORAN LAMA SELATAN,50 CM,0,0,0,50.0
201912,JAKARTA SELATAN,Kec. Cilandak,KEL CILANDAK BARAT,60 CM,0,0,0,60.0
201912,JAKARTA SELATAN,Kec. Cilandak,KEL PONDOK LABU,30 S/D 70 CM,0,0,0,70.0
201912,JAKARTA SELATAN,Kec. Kebayoran Baru,KEL. CIPETE UTARA,20 S/D 75 CM,0,0,0,75.0
201912,JAKARTA SELATAN,Kec. Kebayoran Baru,KEL. PETOGOGAN,45 CM,0,0,0,45.0
201912,JAKARTA SELATAN,Kec. Kebayoran Baru,KEL. GUNUNG,50 S/D 80 CM,0,0,0,80.0
201912,JAKARTA TIMUR,Kec. Makasar,KEL. KEBON PALA,30 S/D 50 CM,0,0,0,50.0
201912,JAKARTA TIMUR,Kec. Kramat Jati,KEL. BATU AMPAR,40 CM,0,0,0,40.0
201912,JAKARTA TIMUR,Kec. Kramat Jati,KEL. CAWANG,50 CM,0,0,0,50.0
201912,JAKARTA TIMUR,Kec. Jatinegara,KEL. KAMPUNG MELAYU,20 S/D 40 CM,337,0,0,40.0
201912,JAKARTA TIMUR,Kec. Jatinegara,KEL. BIDARA CINA,20 S/D 50 CM,0,0,0,50.0
201904,JAKARTA UTARA,Kec. Penjaringan,KEL. KAMAL MUARA,3 S/D 10 CM,0,0,0,10.0
201904,JAKARTA BARAT,Kec. Cengkareng,KEL. CENGKARENG BARAT,30 S/D 50 CM,0,0,0,50.0
201904,JAKARTA BARAT,Kec. Cengkareng,KEL. RAWA BUAYA,20 S/D 80 CM,0,0,0,80.0
201904,JAKARTA BARAT,Kec. Kebon Jeruk,KEL. KEDOYA SELATAN,10 S/D 30 CM,0,0,0,30.0
201904,JAKARTA BARAT,Kec. Kembangan,KEL. KEMBANGAN UTARA,40 S/D 110 CM,138,1,0,110.0
201904,JAKARTA BARAT,Kec. Kembangan,KEL. KEMBANGAN SELATAN,20 CM,0,0,0,20.0
201904,JAKARTA SELATAN,Kec. Kebayoran Baru,KEL. PETOGOGAN,10 S/D 40 CM,0,0,0,40.0
201901,JAKARTA UTARA,Kec. Penjaringan,KEL. KAMAL MUARA,3 S/D 20 CM,0,0,0,20.0
201901,JAKARTA UTARA,Kec. Penjaringan,KEL. PLUIT,3 S/D 40 CM,0,0,0,40.0
201901,JAKARTA UTARA,Kec. Penjaringan,KEL. PEJAGALAN,10 S/D 15 CM,0,0,0,15.0
201901,JAKARTA UTARA,Kec. Penjaringan,KEL. PENJARINGAN,5 S/D 10 CM,0,0,0,10.0
201901,JAKARTA UTARA,Kec. Cilincing,KEL. ROROTAN,10 S/D 20 CM,0,0,0,20.0
201901,JAKARTA UTARA,Kec. Cilincing,KEL. SUKAPURA,10 S/D 20 CM,0,0,0,20.0
201901,JAKARTA UTARA,Kec. Cilincing,KEL. CILINCING,10 S/D 20 CM,0,0,0,20.0
201901,JAKARTA UTARA,Kec. Cilincing,KEL. SEMPER TIMUR,5 S/D 30 CM,0,0,0,30.0
201901,JAKARTA UTARA,Kec. Cilincing,KEL. MARUNDA,10 S/D 20 CM,0,0,0,20.0
201901,JAKARTA UTARA,Kec. Kelapa Gading,KEL. PEGANGSAAN DUA,10 S/D 30 CM,0,0,0,30.0
201901,JAKARTA UTARA,Kec. Kelapa Gading,KEL. KELAPA GADING BARAT,10 S/D 20 CM,0,0,0,20.0
201901,JAKARTA UTARA,Kec. Koja,KEL. KEL. TUGU SELATAN,10 S/D 30 CM,0,0,0,30.0
201901,JAKARTA UTARA,Kec. Tanjung Priok,KEL. TANJUNG PRIOK,10 S/D 25 CM,0,0,0,25.0
201901,JAKARTA BARAT,Kec. Kalideres,KEL. KAMAL,3 S/D 10 CM,0,0,0,10.0
201901,JAKARTA BARAT,Kec. Kalideres,KEL. TEGAL ALUR,40 S/D 50 CM,0,0,0,50.0
201901,JAKARTA BARAT,Kec. Kalideres,KEL. PEGADUNGAN,40 S/D 60 CM,0,0,0,60.0
201901,JAKARTA BARAT,Kec. Kebon Jeruk,KEL. DURI KEPA,25 CM,0,0,0,25.0
201901,JAKARTA BARAT,Kec. Kebon Jeruk,KEL. KEDOYA SELATAN,30 S/D 40 CM,0,0,0,40.0
201901,JAKARTA BARAT,Kec. Kebon Jeruk,KEL. KEDOYA UTARA,20 S/D 30 CM,0,0,0,30.0
201901,JAKARTA BARAT,Kec. Cengkareng,KEL. CENGKARENG TIMUR,10 S/D 70 CM,0,0,0,70.0
201901,JAKARTA BARAT,Kec. Cengkareng,KEL. RAWA BUAYA,10 S/D 60 CM,0,0,0,60.0
201901,JAKARTA BARAT,Kec. Cengkareng,KEL. DURI KOSAMBI,30 S/D 40 CM,0,0,0,40.0
201901,JAKARTA BARAT,Kec. Cengkareng,KEL. KEDAUNG KALI ANGKE,15 S/D 20 CM,0,0,0,20.0
201901,JAKARTA BARAT,Kec. Grogol Petamburan,KEL. WIJAYA KUSUMA,10 S/D 20 CM,0,0,0,20.0
201901,JAKARTA BARAT,Kec. Grogol Petamburan,KEL. JELAMBAR BARU,10 S/D 30 CM,0,0,0,30.0
201901,JAKARTA BARAT,Kec. Kembangan,KEL. KEMBANGAN UTARA,15 S/D 20 CM,0,0,0,20.0
201901,JAKARTA BARAT,Kec. Palmerah,KEL. JATI PULO,40 CM,0,0,0,40.0
201901,JAKARTA BARAT,Kec. Palmerah,KEL. KOTA BAMBU UTARA,20 CM,0,0,0,20.0
201901,JAKARTA SELATAN,Kec. Pasar Minggu,KEL. JATIPADANG,30 S/D 60 CM,240,0,0,60.0
201901,JAKARTA TIMUR,Kec. Jatinegara,KEL. KAMPUNG MELAYU,10 S/D 30 CM,213,0,0,30.0
201901,JAKARTA TIMUR,Kec. Cakung,KEL. RAWA TERATE,15 S/D 30 CM,0,0,0,30.0
201910,JAKARTA SELATAN,Kec. Tebet,KEL. KEBON BARU,10 S/D 30 CM,0,0,0,30.0
201910,JAKARTA SELATAN,Kec. Pasar Minggu,KEL. PEJATEN TIMUR,60 S/D 100 CM,0,0,0,100.0
201910,JAKARTA SELATAN,Kec. Pancoran,KEL. PENGADEGAN,30 CM,0,0,0,30.0
201910,JAKARTA TIMUR,Kec. Jatinegara,KEL. KAMPUNG MELAYU,10 S/D 60 CM,1034,0,0,60.0
201910,JAKARTA TIMUR,Kec. Jatinegara,KEL. BIDARA CINA,20 S/D 40 CM,169,0,0,40.0
201910,JAKARTA TIMUR,Kec. Makasar,KEL. BALEKAMBANG,10 S/D 40 CM,0,0,0,40.0
201910,JAKARTA TIMUR,Kec. Makasar,KEL. CAWANG,30 S/D 100 CM,0,0,0,100.0
201904,JAKARTA SELATAN,Kec. Kebayoran Baru,KEL. CIPETE UTARA,30 S/D 90 CM,0,0,0,90.0
201904,JAKARTA SELATAN,Kec. Pasar Minggu,KEL. JATI PADANG,20 S/D 50 CM,0,0,0,50.0
201904,JAKARTA SELATAN,Kec. Pasar Minggu,KEL. PEJATEN TIMUR,100 S/D 220 CM,875,0,0,220.0
201904,JAKARTA SELATAN,Kec. Pancoran,KEL. PENGADEGAN,10 S/D 250 CM,639,3,0,250.0
201904,JAKARTA SELATAN,Kec. Pancoran,KEL. RAWAJATI,30 S/D 100 CM,0,0,0,100.0
201904,JAKARTA SELATAN,Kec. Pancoran,KEL. CIKOKO,20 S/D 30 CM,0,0,0,30.0
201904,JAKARTA SELATAN,Kec. Tebet,KEL. KEBON BARU,10 S/D 50 CM,7,1,0,50.0
201904,JAKARTA SELATAN,Kec. Tebet,KEL. MANGGARAI,50 S/D 100,0,0,0,100.0
201904,JAKARTA SELATAN,Kec. Jagakarsa,KEL. LENTENG AGUNG,30 S/D 50 CM,0,0,0,50.0
201904,JAKARTA SELATAN,Kec. Jagakarsa,KEL. SRENGSENG SAWAH,30 CM,0,0,0,30.0
201904,JAKARTA SELATAN,Kec. Jagakarsa,KEL. JAGAKARSA,10 S/D 20 CM,0,0,0,20.0
201904,JAKARTA SELATAN,Kec. Mampang Prapatan,KEL. BANGKA,35 S/D 70 CM,0,0,0,70.0
201904,JAKARTA SELATAN,Kec. Kebayoran Lama,KEL. PONDOK PINANG,10 S/D 60 CM,0,0,0,60.0
201904,JAKARTA SELATAN,Kec. Kebayoran Lama,KEL. CIPULIR,10 S/D 20 CM,0,0,0,20.0
201904,JAKARTA SELATAN,Kec. Cilandak,KEL. PONDOK LABU,10 S/D 50 CM,0,0,0,50.0
201904,JAKARTA TIMUR,Kec. Makasar,KEL. CIPINANG MELAYU,20 S/D 60 CM,0,0,0,60.0
201904,JAKARTA TIMUR,Kec. Makasar,KEL. KEBON PALA,10 S/D 50 CM,0,0,0,50.0
201904,JAKARTA TIMUR,Kec. Makasar,KEL. MAKASAR,10 S/D 100 CM,0,1,0,100.0
201904,JAKARTA TIMUR,Kec. Jatinegara,KEL. KAMPUNG MELAYU,10 S/D 250 CM,2312,5,0,250.0
201904,JAKARTA TIMUR,Kec. Jatinegara,KEL. BIDARA CINA,20 S/D 220 CM,3496,4,0,220.0
201904,JAKARTA TIMUR,Kec. Kramat Jati,KEL. CAWANG,10 S/D 150 CM,1384,4,0,150.0
201904,JAKARTA TIMUR,Kec. Kramat Jati,KEL. BALEKAMBANG,30 S/D 70 CM,0,0,0,70.0
201904,JAKARTA TIMUR,Kec. Kramat Jati,KEL. CILILITAN,20 S/D 170 CM,0,1,0,170.0
201904,JAKARTA TIMUR,Kec. Matraman,KEL. KEBON MANGGIS,10 S/D 20 CM,0,0,0,20.0
201904,JAKARTA TIMUR,Kec. Ciracas,KEL. CIBUBUR,10 S/D 20 CM,0,0,0,20.0
201904,JAKARTA TIMUR,Kec. Ciracas,KEL. KELAPA DUA WETAN,10 S/D 30 CM,0,0,0,30.0
201904,JAKARTA TIMUR,Kec. Ciracas,KEL. RAMBUTAN,20 S/D 40 CM,0,3,0,40.0
201903,JAKARTA PUSAT,Kec. Senen,KEL. KRAMAT,20 CM,0,0,0,20.0
201903,JAKARTA UTARA,Kec. Cilincing,KEL. SEMPER TIMUR,10 CM S/D 50 CM,0,0,0,50.0
201903,JAKARTA UTARA,Kec. Cilincing,KEL. KALIBARU,30 CM,0,0,0,30.0
201903,JAKARTA UTARA,Kec. Cilincing,KEL. CILINCING,30 CM,0,0,0,30.0
201903,JAKARTA UTARA,Kec. Cilincing,KEL. ROROTAN,50 CM,0,0,0,50.0
201903,JAKARTA UTARA,Kec. Kelapa Gading,KEL. PEGANGSAAN DUA,30 CM,0,0,0,30.0
201903,JAKARTA UTARA,Kec. Koja,KEL. RAWA BADAK SELATAN,10 CM S/D 20 CM,0,0,0,20.0
201903,JAKARTA UTARA,Kec. Pademangan,KEL. ANCOL,25 CM S/D 30 CM,0,0,0,30.0
201903,JAKARTA UTARA,Kec. Penjaringan,KEL. PLUIT,40 CM,0,0,0,40.0
201903,JAKARTA UTARA,Kec. Penjaringan,KEL. PEJAGALAN,15 CM S/D 30 CM,0,0,0,30.0
201903,JAKARTA UTARA,Kec. Penjaringan,KEL. PENJARINGAN,30 CM,0,0,0,30.0
201903,JAKARTA UTARA,Kec. Penjaringan,KEL. KAMAL MUARA,50 CM,0,0,0,50.0
201903,JAKARTA UTARA,Kec. Tanjung Priok,KEL. WARAKAS,50 CM,0,0,0,50.0
201903,JAKARTA UTARA,Kec. Tanjung Priok,KEL. KEBON BAWANG,10 CM,0,0,0,10.0
201903,JAKARTA UTARA,Kec. Tanjung Priok,KEL. SUNGAI BAMBU,15 CM,0,0,0,15.0
201903,JAKARTA UTARA,Kec. Tanjung Priok,KEL. TANJUNG PRIOK,20 CM S/D 30 CM,0,0,0,30.0
201903,JAKARTA BARAT,Kec. Kebon Jeruk,KEL. KEDOYA UTARA,15 CM S/D 50 CM,0,0,0,50.0
201903,JAKARTA BARAT,Kec. Kebon Jeruk,KEL. KEDOYA SELATAN,25 CM,0,0,0,25.0
201903,JAKARTA BARAT,Kec. Kebon Jeruk,KEL. DURI KEPA,20 CM S/D 40 CM,0,0,0,40.0
201903,JAKARTA BARAT,Kec. Cengkareng,KEL. KEDAUNG KALI ANGKE,40 CM S/D 75 CM,85,2,0,75.0
201903,JAKARTA BARAT,Kec. Cengkareng,KEL. RAWA BUAYA,20 CM S/D 70 CM,0,0,0,70.0
201903,JAKARTA BARAT,Kec. Cengkareng,KEL. CENGKARENG TIMUR,10 CM S/D 50 CM,0,0,0,50.0
201903,JAKARTA BARAT,Kec. Cengkareng,KEL. CENGKARENG BARAT,50 CM,0,0,0,50.0
201903,JAKARTA BARAT,Kec. Cengkareng,KEL. KAPUK,15 CM S/D 50 CM,0,0,0,50.0
201903,JAKARTA BARAT,Kec. Grogol Petamburan,KEL. JELAMBAR BARU,20 CM S/D 60 CM,0,0,0,60.0
201903,JAKARTA BARAT,Kec. Grogol Petamburan,KEL. JELAMBAR,30 CM S/D 40 CM,0,0,0,40.0
201903,JAKARTA BARAT,Kec. Kalideres,KEL. TEGAL ALUR,15 CM S/D 80 CM,0,0,0,80.0
201903,JAKARTA BARAT,Kec. Kembangan,KEL. JOGLO,15 CM,0,0,0,15.0
201903,JAKARTA BARAT,Kec. Kembangan,KEL. KEMBANGAN UTARA,30 CM S/D 40 CM,0,0,0,40.0
